TF	cluster
PRDM9	4
RARA	4
RFX1	4
RFX2	4
RFX3	4
RFX4	4
RFX7	4
RFX8	4
RUNX1	4
RUNX2	4
RUNX3	4
SALL4	4
SMAD9	4
SNAI3	4
SOHLH2	4
SOX11	4
SOX17	4
SOX4	4
SOX5	4
SOX6	4
SOX9	4
SP1	4
SP3	4
SP5	4
SP6	4
SP7	4
SP8	4
SP9	4
SPDEF	4
SPI1	4
SPIB	4
SPIC	4
SPZ1	4
SRY	4
TBP	4
TBX10	4
TBX2	4
TCF12	4
TCFL5	4
TEAD1	4
TEAD2	4
TEAD3	4
TEAD4	4
THAP1	4
TIGD6	4
TRPS1	4
TWIST2	4
VAX1	4
VSX1	4
VSX2	4
YY1	4
YY2	4
ZBTB1	4
ZBTB12	4
ZBTB14	4
ZBTB18	4
ZBTB43	4
ZFHX3	4
ZFP42	4
ZFP64	4
ZKSCAN2	4
ZKSCAN7	4
ZNF10	4
ZNF100	4
ZNF121	4
ZNF133	4
ZNF136	4
ZNF16	4
ZNF17	4
ZNF175	4
ZNF202	4
ZNF205	4
ZNF222	4
ZNF250	4
ZNF257	4
ZNF260	4
ZNF281	4
ZNF282	4
ZNF287	4
ZNF320	4
ZNF33A	4
ZNF341	4
ZNF35	4
ZNF37A	4
ZNF410	4
ZNF425	4
ZNF432	4
ZNF433	4
ZNF445	4
ZNF484	4
ZNF506	4
ZNF527	4
ZNF529	4
ZNF558	4
ZNF563	4
ZNF584	4
ZNF597	4
ZNF605	4
ZNF619	4
ZNF641	4
ZNF655	4
ZNF680	4
ZNF682	4
ZNF704	4
ZNF705G	4
ZNF708	4
ZNF749	4
ZNF778	4
ZNF790	4
ZNF799	4
ZNF8	4
ZNF879	4
ZNF880	4
ZNF90	4
ZSCAN16	4
ZSCAN4	4
ALX4	5
ARGFX	5
ARID3B	5
BARHL1	5
BARX2	5
BCL11B	5
BSX	5
CUX1	5
DBX1	5
DMRT2	5
E2F6	5
ELF3	5
EMX1	5
EMX2	5
EN2	5
EVX1	5
EVX2	5
FEZF1	5
FEZF2	5
FOS	5
FOSL2	5
FOXJ2	5
GABPA	5
GBX2	5
GFI1	5
GLIS1	5
GMEB1	5
GMEB2	5
HESX1	5
HHEX	5
HMX1	5
HNF1A	5
HNF1B	5
