groupID	cellType	UMAP1	UMAP2	Pseudotime	color	MyeloidProbs	ErythroidProbs	BLymphoidProbs	TLymphoidProbs
74	NK	4.14513858528252	-7.74363671065473	0.997340729168289	#492264	0	0	0	0.999343254329642
75	CD4	8.58604224891777	1.73288025139666	0.97702840149747	#005F9F	0	0	0	0.998435882321649
76	CD14mono	-9.20463768272285	-0.108000753532882	0.396728335090361	#F28238	0.999880805045817	0	0	0
77	plasmaB	3.18185433120842	5.63577927826739	0.414876381122433	#C757A1	0.0555259019547518	0	0.589154824576314	0.352253582006065
78	pDC	-2.80063453941231	5.81583680390215	0.194648370230551	#854199	0.975713193837723	0.0113970139254772	0.010101317254556	0
79	pDC	-2.52428308753853	5.72268046616412	0.194549682337152	#854199	0.97571319381323	0.0113970139399636	0.0101013172643721	0
80	CD14mono	-8.96956363944893	-0.0251055491080238	0.400571811135776	#F28238	0.999895000635188	0	0	0
81	early-Ery	-7.51103941230659	-7.68060265303754	0.810124463317039	#CC1F39	0	0.99999999999969	0	0
82	CD8	3.79271801681633	-4.24576841117048	0.984825905386066	#1481C4	0	0	0	0.998834922509173
83	NaiveB	2.75877841682549	10.9404939579854	0.877241202085216	#A896C8	0	0	0.995431390803596	0
84	early-Ery	-5.50840345649605	-5.87380085707807	0.665350561112834	#CC1F39	0	0.999999999998542	0	0
85	CD8	4.56892713279839	-1.97144006014967	0.980022269847837	#1481C4	0	0	0	0.998627963235723
86	CD8	6.50923618049736	-0.824101490985389	0.97867955855251	#1481C4	0	0	0	0.998566923233998
87	pDC	-2.64740053443794	5.74147643326617	0.193280526803722	#854199	0.975713193701902	0.0113970140058727	0.0101013173089309	0
88	NK	3.72138961525078	-7.39325915099287	0.99611805111104	#492264	0	0	0	0.999311754254566
89	CD8	3.99248441429253	-5.06141625167036	0.978269659326522	#1481C4	0	0	0	0.998684791130128
90	CD14mono	-11.0631486537922	-0.937376840125556	0.387764491205023	#F28238	0.999818785575154	0	0	0
91	NK	4.11436780662651	-9.54442940474653	0.998531488318865	#492264	0	0	0	0.999368024116009
92	NaiveB	4.29401954383965	11.5230840611348	0.878083757676019	#A896C8	0	0	0.995557921582103	0
93	early-Ery	-5.7665588024128	-6.22879086257123	0.685882886571764	#CC1F39	0	0.999999999999332	0	0
94	DC	-3.93815318374519	0.863908784378533	0.0714692665631086	#D13C27	0.928277002650481	0.039566310888346	0.0290035942582516	0
95	NaiveB	4.03288921089287	11.4478525090108	0.87725440243687	#A896C8	0	0	0.995204981493699	0
96	CD16mono	-9.06094375877266	5.80951394318438	0.364360820442236	#F26625	0.999091700923713	0	0	0
97	GMP	-7.65902200965767	3.84914244889117	0.321892976235372	#FAA31B	0.995487164428197	0	0	0
98	NK	3.44063767166252	-9.41096649886274	0.999172645640201	#492264	0	0	0	0.999381105277474
99	NK	3.91983183593864	-7.13619099379682	0.99579292787829	#492264	0	0	0	0.999303674910425
100	NK	4.26446565361137	-9.25018559218549	0.974840674665777	#492264	0	0	0	0.998446074547136
101	CD8	5.30261119575615	-2.54216681243085	0.982905100847822	#1481C4	0	0	0	0.998728327874619
102	DC	-4.26325861244087	0.841099278915887	0.079542076258459	#D13C27	0.94507766344906	0.0295571835965918	0.0223403865959224	0
103	CD14mono	-9.6863881710041	0.402091341007714	0.399135610119398	#F28238	0.999889458447266	0	0	0
104	pro/pre-B	-1.80813709525948	10.8028510975728	0.734511771301089	#A896C8	0	0	0.983135157512599	0.0168284337959427
105	CD16mono	-8.28521648673897	5.69244851349688	0.366586687815621	#F26625	0.999167504849062	0	0	0
106	CD14mono	-7.33600965766792	1.81188811539507	0.371377957303033	#F28238	0.99919195815372	0	0	0
107	CD14mono	-9.01618400840645	-0.736134065400596	0.401424086901229	#F28238	0.999898180664229	0	0	0
108	plasmaB	4.13678535194511	5.56710042237139	0.649501630614885	#C757A1	0	0	0.621298038914971	0.377884352249435
109	late-Ery	-7.79742828636055	-10.5242115092387	0.897596763631601	#901838	0	0.999999999999675	0	0
110	NK	3.82897957534904	-8.19906006575727	0.997688706974206	#492264	0	0	0	0.999349633783403
111	late-Ery	-7.30986610679512	-11.3978239131083	0.907513057522561	#901838	0	0.999999999999779	0	0
112	HSC/MPP	-2.48749843864326	0.320289866913323	0.588856974920288	#0E4421	0.0198586201680581	0	0.116098826381178	0.863274042463017
113	CD8	4.14876683921928	-2.95537553549909	0.980770724031847	#1481C4	0	0	0	0.998676472268363
114	NK	3.58721002311821	-6.72335873366498	0.974724491732083	#492264	0	0	0	0.99820085848345
115	NK	3.73005374641533	-9.14419041396284	0.998821939447986	#492264	0	0	0	0.999374170991808
116	CD14mono	-7.79845777778511	1.4050685334096	0.388893768028733	#F28238	0.999820940454565	0	0	0
117	NaiveB	3.41015990944023	10.7565502095113	0.875240334467179	#A896C8	0	0	0.995078205551817	0
118	NaiveB	3.86714037628288	10.0024856495748	0.865293550756496	#A896C8	0	0	0.967207067349305	0.0327221387766675
119	NaiveB	3.22738655777092	11.6146730351338	0.877215261903303	#A896C8	0	0	0.995324215197824	0
120	NK	4.38275750846977	-7.06211720229291	0.988774740655397	#492264	0	0	0	0.999068458013459
121	MemoryB	3.96272214622612	9.17553939102984	0.87061697117367	#B280B9	0	0	0.993534123309789	0
122	NK	3.02945336074944	-9.5750499796977	0.999856485859517	#492264	0	0	0	0.999394250676617
123	MemoryB	4.23259624214287	8.93710078476763	0.865824894851344	#B280B9	0	0	0.991718063081447	0
124	GMP	-11.0392924907673	1.74306906937457	0.353116877085732	#FAA31B	0.998298992417459	0	0	0
125	NK	3.54340585441704	-8.93493710280561	0.998992522639489	#492264	0	0	0	0.999377473086207
126	early-Ery	-4.70683590202217	-5.19167576552534	0.603705790190125	#CC1F39	0	0.999999999937395	0	0
127	NaiveB	3.12516697616692	11.5648149418721	0.877090616164718	#A896C8	0	0	0.99535454162633	0
128	CD16mono	-7.87648788719063	4.89768208741045	0.372955676509159	#F26625	0.999402293716803	0	0	0
